Venue ID,City,Zip Code,Date,Genre Name,Genre ID,Max Ticket Price
Z7r9jZad5P,Phoenix,85003,2019-10-23,Hip-Hop/Rap,KnvZfZ7vAv1,0.0
KovZpaKope,San Francisco,94102,2019-10-27,R&B,KnvZfZ7vAee,49.5
KovZpZAFdJnA,Chicago,60640,2019-09-28,R&B,KnvZfZ7vAee,55.0
KovZpaKope,San Francisco,94102,2019-10-28,R&B,KnvZfZ7vAee,69.5
KovZpZAEAlaA,Hollywood,90028,2019-10-18,R&B,KnvZfZ7vAee,99.5
KovZpZAJA6IA,San Diego,92182,2019-10-24,R&B,KnvZfZ7vAee,64.5
KovZpZAEAFdA,Dallas,75215,2019-10-05,R&B,KnvZfZ7vAee,70.0
KovZ917AQC0, Minneapolis,55415,2019-10-09,R&B,KnvZfZ7vAee,74.5
KovZ917AQC0, Minneapolis,55415,2019-10-11,R&B,KnvZfZ7vAee,74.5
KovZpZAFdJnA,Chicago,60640,2019-09-29,R&B,KnvZfZ7vAee,55.0
KovZpZAEkIIA,Houston,77002,2019-10-04,R&B,KnvZfZ7vAee,92.75
KovZpZAE6eJA,Denver,80218,2019-10-15,R&B,KnvZfZ7vAee,69.75
KovZpa61Ge,Nashville,37219,2019-09-30,R&B,KnvZfZ7vAee,70.0
KovZpZAEAlaA,Hollywood,90028,2019-10-20,R&B,KnvZfZ7vAee,99.5
KovZpZA6keIA,Indianapolis,46204,2019-12-10,R&B,KnvZfZ7vAee,75.0
KovZpZA6AJ7A,St Louis,63112,2019-10-08,R&B,KnvZfZ7vAee,44.5
KovZpZAEAlaA,Hollywood,90028,2019-10-21,R&B,KnvZfZ7vAee,99.5
KovZpZAEk6tA,Louisville,40202,2019-10-02,R&B,KnvZfZ7vAee,75.0
KovZpZAJAJeA,Las Vegas,89109,2019-10-25,R&B,KnvZfZ7vAee,94.5
KovZpZAE6eJA,Denver,80218,2019-10-16,R&B,KnvZfZ7vAee,69.75
